name;price;shipping
Computador Pc Completo Fácil Pentium Dual-core 4gb Hd 500gb;1879.0;Free
Pc Completo Fácil Intel I3 04gb Hd 500gb + Monitor Led 15'';1989.0;Free
Pc Cpu I7 4770 4ª Geração 3.4ghz, 16gb Ram, Ssd 480gb;2750.0;Free
Pc Gamer Streamer I7 16gb Ssd Monitor + Kit Gamer Full Hd;4990.0;Free
Cpu Monitor Dell Optiplex  Intel Core I5 4gb 1tb Novo;3099.0;Free
Pc Gamer Computador Completo Ryzen 5 16gb Ddr4 Ssd Nfe Wifi;4880.0;Free
Fonte de alimentação para PC Knup KP-522 500W preta 115V/230V;140.0;Free
Cpu Dell Optiplex 3050 Core I5 7ger 8gb 1tb  - Promoção;3199.0;Free
Kit Pc Gamer Legion 5i I7 16gb 512gb Rtx2060+teclado K300;11135.0;Paid
Pc Gamer I7 4770 16gb, Ssd 480gb, Placa Vídeo 4gb Placa Wifi;3600.0;Free
Computador Fácil Intel Core I3 4gb Ddr3 Ssd 120gb;1219.0;Free
Pc Gamer Completo I5 8gb Hd 500 Placa De Video Monitor;3519.0;Free
Cpu Dell Optiplex 7010 Core I5 3570 4gb 500gb Envio Imediato;1599.0;Free
Pc Computador Cpu Core I5 3470 Ssd 240gb + 16gb Memória Ram;1950.0;Free
Computador Office Intel Core I3 4gb Ddr3 Ssd 120gb Hdmi + Nf;1299.0;Free
Computador Pc Completo Intel I5 3°geração 8gb Hd 500gb Wi-fi;2899.0;Free
Fone de ouvido on-ear Logitech H390 preto;24990.0;Free
Computador Completo Fácil Intel Core I5 08gb Ddr3 Ssd 240 Gb;2529.0;Free
Kit Pc Gamer Legion 5i I7 16gb 512gb Rtx2060+teclado K300;11599.0;Paid
Pc Gamer Cpu I5 16gb, Ssd 240gb, Placa Vídeo 4gb Placa Wifi;2650.0;Free
Computador Gamer I7 16gb 1tb Gtx 1050 Ti 4gb Ddr5 Win10 Hdmi;4999.0;Free
Disco sólido interno Patriot Burst PBU120GS25SSDR 120GB;16999.0;Free
Pc Gamer Completo I5 8gb Hd 500 Placa De Video Monitor;3519.0;Free
Notebook Multilaser Legacy Cloud 14 Pol. 32 Gb W10 - Pc131;1619.0;Paid
Cpu Monitor Dell Optiplex Core I5 8gb 500gb - Novo;3299.0;Free
Pc Gamer 9ª Geração I5 9400f 8gb Ddr4 Ssd 240gb Geforce 2gb;3700.0;Free
Computador Cpu Intel I3 8gb Ssd 120gb Hdmi Pronta Entrega;1350.0;Free
Computador Completo Fácil Intel I5 08 Gb Ddr3 Hd 500 Gb;2379.0;Free
Pc Gamer Completo Maximus Intel I5 Gtx 750 8gb Hd 1tb Wi-fi;4199.0;Free
Pc Computador Cpu I5, Hd 1tb + Ssd 240gb + 8gb Memória Ram;2040.0;Free
Notebook Intel Atom 2gb 64gb Multilaser Legacy Pc134 Win 10;1449.0;Free
Pc Intel Core I5 3ª Ger 8gb Ssd 240gb Fonte 200w;1550.0;Free
Pc Cpu Core I5 3470 + Ssd 240gb + 8gb Memória Ram+ Gt 710 2g;1939.0;Free
Placa de vídeo AMD Afox  Radeon R5 Series R5 220 AFR5220-2048D3L9-V2 2GB;248.0;Free
Pc Computador Cpu Core I5 650 + Ssd 480gb, 8gb Memória Ram;1599.0;Free
Pc Gamer Completo Maximus I5 Gt 730 4gb 8gb Hd 1tb Wi-fi;4299.0;Free
Pc Gamer Fácil Intel I5 9400f 16gb Geforce 2gb Ssd 480gb;4189.0;Free
Notebook Multilaser Legacy Dual Core 4gb 32ssd Mostruário;1399.0;Free
Computador Completo I5 3º G 4gb Hd Ssd 240gb Monitor Hdmi;2439.0;Free
Pc Gamer Completo Maximus I5 Gt 740 8gb Hd 1tb Wi-fi;4199.0;Free
Fone de ouvido gamer Haiz Alpha 1804 preto e azul;7599.0;Paid
Cpu Gamer I7 16gb Hd1tb + Ssd 240gb 1050ti 4gb Wifi W10 Hmdi;5499.0;Free
Desktop Intel I3-530 - 2.93 Ghz, 4gb, 500gb, Hdmi;1064.0;Free
Pc Computador Core I5 650 + Ssd 240gb, 8gb Memória Ram+wifi;1459.0;Free
Pc Gamer Completo Amd A8 8gb Ssd 240gb Placa Video R7 Series;3279.0;Free
Impressora a cor multifuncional Epson EcoTank L3150 com wifi preta 110V/220V;1299.0;Free
Computador Fácil Intel Core I3 8gb Ddr3 Ssd 120gb;1359.0;Free
Notebook Compaq Presario Cq-31 N3060 4gb Ram 500gb Hd Win 10;189899.0;Free
Computador Pc Completo I5 4°geração 8gb Ssd 240gb Wi-fi;3399.0;Free
Cpu Gamer Barata Amd A8 7600 8gb Ssd 240 Radeon R7 2gb ;1899.0;Free
Cpu Dell Optiplex 7010 Core I5 3570 4gb 500gb Envio Imediato;1599.0;Free
Cpu Gamer Barata Amd A8 8gb Ssd240 Video Radeon R7;2079.0;Free
Notebook Multilaser Legacy Book Pc310 Pentium D.core N3700;1619.0;Free
Cpu + Monitor Dell Optiplex 3050 Core I5 7ger 8gb 1tb - Novo;3599.0;Free
Pc Gamer 9ª Geração I5 9400f 8gb Ddr4 Ssd 240gb Geforce 2gb;3700.0;Free
Computador Completo I5 3º G 8gb Hd Ssd 240gb Monitor Hdmi;2589.0;Free
Cpu Pc Gamer Barato Computador Completo Placa Video 2gb;1999.0;Free
Memória RAM Fire Dragon color Preto  8GB 1 RZX-D3D10M1600B/8G;24959.0;Free
Computador Office Intel Core I3 4gb Ddr3 Ssd 240gb Hdmi Nf;1460.0;Free
Computador Fácil H61 Intel I5 2400s 8gb Ssd 240gb ;1649.0;Free
